id_franq,franquicia
344,Dracula 2000 Collection
345,Save The Last Dance Collection
346,The Brave Little Toaster Collection
347,Ernest Collection
348,Lost Boys Collection
349,Mannequin Collection
350,Wong Kar-Wai'S Informal Collection
351,Disneys Große Pause
352,Demetrius Filmreihe
353,Dr. Phibes Collection
354,Revenge Of The Nerds Collection
355,C.H.U.D. Collection
356,Spy Kids Collection
357,Bridget Jones Collection
358,Joe Dirt Collection
359,The Mummy Collection
360,Shrek Collection
361,Alienation Trilogy
362,The Magnificent Seven Collection
363,Atlantis Collection
364,Tomb Raider Collection
365,The Fast And The Furious Collection
366,The Crimson Rivers Collection
367,Cats & Dogs Collection
368,Totò Collection
369,Cannonball Run Collection
370,Dr Goldfoot Collection
371,The Three Mothers Collection
372,Final Fantasy Collection
373,Legally Blonde Collection
374,Arthur Collection
375,Critters Collection
376,Elvira Collection
377,Return Of The Living Dead Collection
378,The Man From Snowy River Collection
379,Short Circuit Collection
380,The Waxwork Collection
381,American Ninja Collection
382,Bill & Ted'S Most Excellent Collection
383,Cyborg Collection
384,Dream A Little Dream Collection
385,Eddie And The Cruisers Collection
386,K-9 Collection
387,Kickboxer Collection
388,Look Who'S Talking Collection
389,The Musketeers Collection
390,Road House Collection
391,The Stepfather Collection
392,Warlock Collection
393,Basket Case Collection
394,The Princess Diaries Collection
395,La Cage Aux Folles
396,Philo & Clyde Collection
397,Jeepers Creepers Collection
398,A Man Called Horse Collection
399,Zoolander Collection
400,Joy Ride Collection
401,The Party Collection
402,Darko Collection
403,"Monsters, Inc. Collection"
404,Harry Potter Collection
405,Fanny Brice Collection
406,Beastmaster Collection
407,The Exterminator Collection
408,Caprona Collection
409,Behind Enemy Lines Collection
410,Ocean'S Collection
411,The Lord Of The Rings Collection
412,Fritz The Cat Collection
413,Sex And Zen Collection
414,48 Hrs. Collection
415,The Sandlot Collection
416,Peter Pan Collection
417,Super Troopers Collection
418,State Property Collection
419,The Bad New Bears Collection
420,The Lone Ranger (Clayton Moore) Collection
421,Vampire Hunter D Collection
422,Ferngully Collection
423,Zombi Collection
424,Get Smart Collection
425,"Oh, God! Collection"
426,Ice Age Collection
427,Resident Evil Collection
428,The Paleface Collection
429,Road To Collection
430,Tales Of The Four Seasons
431,Smokey And The Bandit Collection
432,Sällskapsresorna
433,National Lampoon’S Van Wilder Collection
434,Slap Shot Collection
435,My Big Fat Greek Wedding Collection
436,War Trilogy
437,Horror High Collection
438,3 Men Collection
439,The Scorpion King Collection
440,Wild Orchid Collection
441,Spider-Man Collection
442,White Fang Collection
443,The Bourne Collection
444,Scooby-Doo Collection
445,Lilo & Stitch Collection
446,Like Mike Collection
447,Our Man Flint Collection
448,The Modesty Blaise Collection
449,Xxx Collection
450,Living Trilogy
451,Blue Crush Collection
452,Undisputed Collection
453,Care Bears Collection
454,976-Evil Collection
455,Barbershop Collection
456,The Transporter Collection
457,The Hills Have Eyes (Original) Collection
458,"Heaven, Hell And Purgatory Collection"
459,Dracula (Hammer Series)
460,Django - Original Films
461,The Ring Collection
462,Saturday Night Fever Collection
463,Man Of Marble/Iron Collection
464,Enter The Ninja Collection
465,Faces Of Death Collection
466,Göta Kanal Collection
467,Piranha Collection
468,Jackass Collection
469,Half Past Dead Collection
470,Left Behind Collection
471,"Pagnol, Childhood'S Memories"
472,Scanners Collection
473,Elling Collection
