id_peli,id_pais
93708,2
213755,2
279179,2
256375,2
289174,2
215740,2
4540,2
15706,2
279570,2
62684,2
256314,2
138735,2
271433,2
52116,2
55534,2
169382,2
350849,2
141476,2
254736,2
66772,2
272426,2
299856,2
141145,2
132873,2
277968,2
284050,2
124122,2
197053,2
16912,2
74884,2
140229,2
245697,2
340401,2
361854,2
76817,2
42690,2
147360,2
27069,2
53290,2
3692,2
319888,2
83617,2
337029,2
139777,2
93521,2
171902,2
11089,2
10626,2
12831,2
18230,2
323677,2
82157,2
58769,2
82094,2
46258,2
225244,2
9321,2
143983,2
149094,2
111988,2
249347,2
47239,2
129933,2
126610,2
10749,2
155052,2
10500,2
11869,2
100086,2
4979,2
218728,2
98642,2
49941,2
361980,2
352720,2
286367,2
47723,2
21751,2
104172,2
114931,2
97707,2
100017,2
73775,2
6417,2
38668,2
10129,2
84904,2
308671,2
267035,2
250919,2
296225,2
65188,2
78202,2
119816,2
9084,2
180970,2
799,2
267415,2
36292,2
8651,2
50179,2
295782,2
12495,2
71097,2
56344,2
193595,2
102873,2
296449,2
191703,2
278262,2
116614,2
367596,2
140554,2
163837,2
346494,2
209266,2
5728,2
130544,2
63065,2
312849,2
83907,2
12781,2
226693,2
47845,2
58559,2
239103,2
48613,2
341745,2
304878,2
12607,2
373349,2
75733,2
358893,2
334362,2
365909,2
370755,2
374465,2
144651,2
335578,2
197175,2
297063,2
1659,2
1652,2
1655,2
279090,2
77786,2
9657,2
9252,2
9379,2
36137,2
378483,2
142611,2
12696,2
60809,2
7456,2
302401,2
394661,2
9547,2
65887,2
120268,2
231540,2
257291,2
166770,2
106219,2
270010,2
46740,2
99592,2
15068,2
75897,2
338381,2
208198,2
371464,2
374475,2
48339,2
362699,2
5654,2
353866,2
311770,2
303636,2
381277,2
341491,2
367416,2
326255,2
206657,2
300210,2
175331,2
57458,2
10458,2
346641,2
156954,2
373479,2
371865,2
103396,2
130957,2
314635,2
303856,2
42591,2
12602,2
185752,2
48995,2
333846,2
337674,2
65442,2
24025,2
368031,2
319998,2
34989,2
41182,2
144421,2
308174,2
82405,2
358505,2
378503,2
86713,2
352890,2
333367,2
377852,2
254323,2
250388,2
10841,2
373889,2
336307,2
57924,2
72309,2
384664,2
359483,2
86822,2
379779,2
43776,2
12631,2
394822,2
324560,2
99896,2
386100,2
421958,2
339894,2
13626,2
360029,2
55739,2
336216,2
102870,2
41725,2
355065,2
87628,2
411025,2
369769,2
393561,2
932,2
279229,2
203539,2
226001,2
266568,2
313896,2
279558,2
268712,2
41619,2
84672,2
52254,2
210052,2
228384,2
290911,2
334522,2
324440,2
8209,2
11346,2
315112,2
382127,2
369594,2
195590,2
340837,2
241140,2
377263,2
254299,2
4652,2
208436,2
377847,2
286545,2
362343,2
280723,2
420519,2
173897,2
380623,2
81556,2
381090,2
17008,2
208366,2
265432,2
83729,2
177979,2
85699,2
186532,2
429199,2
51322,2
70807,2
39315,2
346239,2
382883,2
178222,2
379019,2
117479,2
257831,2
432799,2
429191,2
429732,2
76097,2
286,2
9551,2
73981,2
405204,2
340676,2
416499,2
173631,2
154718,2
394385,2
254967,2
424634,2
7290,2
58692,2
255552,2
392207,2
9830,2
356200,2
380075,2
185476,2
54548,2
63077,2
436340,2
381449,2
9690,2
157641,2
157676,2
420714,2
453062,2
11181,2
167330,2
410212,2
42862,2
279965,2
24709,2
411024,2
27942,2
25771,2
122487,2
322148,2
54400,2
11070,2
391663,2
3003,2
198646,2
201429,2
302150,2
23764,2
53945,2
159810,2
48209,2
31392,2
423988,2
368342,2
391709,2
329013,2
73311,2
11930,2
49168,2
458808,2
400552,2
54000,2
372355,2
12816,2
81509,2
74949,2
36888,2
8366,2
7298,2
28279,2
176167,2
4049,2
378111,2
124250,2
360737,2
341013,2
315196,2
27221,2
45763,2
172011,2
146473,2
45764,2
128410,2
9765,2
9627,2
37991,2
2286,2
436352,2
160788,2
412204,2
2331,2
428501,2
448992,2
32593,2
11193,2
21893,2
428495,2
60378,2
433410,2
70609,2
36886,2
36887,2
36885,2
58133,2
366505,2
434166,2
90063,2
175457,2
184402,2
370213,2
45527,2
710,3
47018,3
687,3
31174,3
880,3
8447,3
40154,3
45549,3
63076,3
71754,3
51352,3
16934,3
73067,3
39428,3
22279,3
30157,3
11780,3
414,3
68274,3
48787,3
36834,3
49805,3
19155,3
22625,3
10531,3
397,3
49980,3
11318,3
3036,3
56428,3
41478,3
9905,3
46797,3
12635,3
10497,3
712,3
41647,3
1689,3
52038,3
18242,3
8011,3
46924,3
14522,3
20239,3
25440,3
10612,3
11934,3
7984,3
9300,3
1245,3
2088,3
103413,3
10445,3
12519,3
78,3
9607,3
14587,3
581,3
268,3
261246,3
38884,3
2021,3
124625,3
37667,3
32513,3
40651,3
36915,3
25697,3
124613,3
532,3
16299,3
935,3
41007,3
255546,3
26890,3
124633,3
627,3
14553,3
49963,3
31546,3
124645,3
18975,3
42758,3
11015,3
44705,3
62,3
488,3
22733,3
1770,3
18444,3
10163,3
47199,3
11159,3
10938,3
25147,3
27256,3
623,3
583,3
12614,3
792,3
11386,3
15764,3
36998,3
11843,3
10379,3
762,3
531,3
30892,3
41326,3
10608,3
7452,3
26561,3
409,3
10161,3
68,3
679,3
13446,3
947,3
185,3
1092,3
348,3
600,3
530,3
10705,3
11235,3
218,3
18971,3
826,3
694,3
11778,3
8009,3
339,3
783,3
11257,3
12104,3
625,3
983,3
655,3
96288,3
18762,3
8077,3
814,3
31640,3
11674,3
364,3
58102,3
36758,3
36040,3
74239,3
12145,3
14832,3
784,3
28005,3
11844,3
13982,3
12793,3
68545,3
15321,3
9450,3
45671,3
26422,3
415,3
249358,3
8413,3
49462,3
9427,3
172545,3
17589,3
29911,3
1959,3
8067,3
1281,3
34838,3
14905,3
10215,3
45609,3
38904,3
19601,3
22797,3
714,3
25994,3
115,3
46338,3
11258,3
25719,3
6116,3
2923,3
47112,3
9558,3
47452,3
9313,3
9440,3
44308,3
1774,3
21252,3
6264,3
18316,3
35796,3
17044,3
136134,3
12655,3
5769,3
874,3
17917,3
9443,3
746,3
11187,3
13155,3
9314,3
11497,3
11837,3
11639,3
573,3
54795,3
38621,3
4175,3
31995,3
2762,3
2761,3
52907,3
15007,3
36049,3
52748,3
75793,3
47695,3
