id_peli,genero
288037,1
82690,1
13391,1
123025,1
81188,1
16016,1
288293,1
140420,1
13679,1
83389,1
71883,1
55615,1
61591,1
81850,1
110392,1
130445,1
22752,1
86819,1
36257,1
147538,1
142061,1
115223,1
88557,1
13648,1
133121,1
68179,1
114478,1
14850,1
49519,1
55892,1
26547,1
127544,1
110420,1
13647,1
63686,1
169934,1
15257,1
30675,1
76589,1
166076,1
39319,1
116711,1
62211,1
39544,1
80518,1
177271,1
93456,1
183011,1
103173,1
77950,1
77931,1
201676,1
30143,1
21683,1
65291,1
151960,1
149870,1
83114,1
30061,1
32389,1
37845,1
118293,1
89623,1
49802,1
133931,1
109451,1
51985,1
137193,1
19594,1
200481,1
213121,1
175574,1
41498,1
176983,1
28550,1
109445,1
51859,1
75629,1
43967,1
167502,1
20986,1
23452,1
18269,1
91551,1
58515,1
13194,1
126963,1
153158,1
39102,1
245170,1
39148,1
113594,1
31769,1
217993,1
126319,1
378240,1
72013,1
137106,1
83564,1
20756,1
141614,1
17794,1
37585,1
98162,1
22504,1
84319,1
13934,1
13061,1
24589,1
19325,1
21379,1
18224,1
85444,1
254464,1
198375,1
22259,1
23527,1
47626,1
222671,1
82703,1
83201,1
39853,1
72962,1
192577,1
119685,1
227783,1
257346,1
203715,1
52762,1
251519,1
172385,1
12242,1
227425,1
258096,1
59981,1
258893,1
140870,1
82881,1
100271,1
82702,1
21974,1
218836,1
64246,1
30146,1
35837,1
60316,1
269100,1
69325,1
94196,1
242643,1
48347,1
269650,1
57277,1
52686,1
184322,1
287590,1
169314,1
3171,1
116352,1
69559,1
116351,1
170687,1
149871,1
69328,1
15916,1
26730,1
234284,1
204436,1
293271,1
46247,1
146381,1
62967,1
48585,1
110073,1
36072,1
16049,1
28302,1
36323,1
46314,1
41097,1
51576,1
36523,1
177572,1
228326,1
81424,1
48504,1
48488,1
234862,1
21250,1
77887,1
116440,1
82424,1
230731,1
77499,1
264646,1
275287,1
61495,1
19164,1
19165,1
17337,1
31473,1
27653,1
77951,1
52010,1
75258,1
25475,1
52989,1
25353,1
73103,1
58760,1
41077,1
28967,1
17234,1
157305,1
212167,1
58700,1
9742,1
17009,1
86532,1
233423,1
10258,1
17963,1
242828,1
110416,1
304023,1
137769,1
33838,1
170522,1
211247,1
270946,1
75491,1
93114,1
284995,1
79218,1
20077,1
252511,1
158483,1
104398,1
247437,1
145337,1
172391,1
32916,1
246213,1
210126,1
246648,1
148176,1
223243,1
214948,1
218658,1
128679,1
215061,1
285532,1
17681,1
24179,1
59169,1
13759,1
26540,1
18948,1
153936,1
248833,1
92321,1
116977,1
288581,1
16460,1
26728,1
130925,1
141423,1
256835,1
142563,1
157301,1
43477,1
132601,1
13654,1
230222,1
121734,1
222715,1
59298,1
276819,1
234567,1
174442,1
30178,1
45752,1
33037,1
49742,1
24102,1
25556,1
25587,1
24554,1
251768,1
45662,1
63486,1
16652,1
24556,1
1260,1
31933,1
13699,1
79842,1
164372,1
39961,1
29192,1
85439,1
72585,1
297556,1
62670,1
51800,1
60949,1
26497,1
13017,1
15898,1
