id_peli,id_leng
2246,1
10502,1
10440,1
9516,1
2320,1
83718,1
11971,1
2625,1
31911,1
788,1
21450,1
11231,1
41588,1
10447,1
31586,1
9300,1
9559,1
9800,1
713,1
8291,1
18133,1
25557,1
22588,1
10872,1
1245,1
11858,1
7007,1
10467,1
5550,1
8005,1
2088,1
10412,1
47889,1
14534,1
56583,1
424,1
35233,1
14291,1
103413,1
11236,1
11592,1
8850,1
10445,1
695,1
43535,1
12519,1
23210,1
858,1
867,1
78,1
13203,1
10442,1
11074,1
33367,1
9607,1
17585,1
9057,1
20967,1
10635,1
9479,1
10057,1
11969,1
41590,1
319,1
26408,1
15139,1
161158,1
85247,1
11446,1
24405,1
11655,1
11800,1
14587,1
31504,1
53185,1
95743,1
17600,1
10897,1
21352,1
37345,1
32562,1
25403,1
9066,1
771,1
251,1
812,1
280,1
581,1
80350,1
268,1
274,1
408,1
10020,1
10895,1
114,1
576,1
15477,1
30528,1
7300,1
10824,1
261246,1
275,1
11827,1
8766,1
23570,1
47333,1
10112,1
46029,1
32308,1
88893,1
123505,1
340210,1
28121,1
12520,1
1592,1
166901,1
36447,1
19042,1
38884,1
47449,1
36259,1
41852,1
40926,1
9099,1
2021,1
61752,1
10988,1
10684,1
954,1
68445,1
18989,1
8840,1
124625,1
11107,1
16417,1
10363,1
161070,1
10539,1
10543,1
18414,1
47502,1
11902,1
27098,1
25087,1
3065,1
318177,1
2300,1
8069,1
288173,1
221917,1
35797,1
88030,1
83857,1
33245,1
124460,1
27281,1
40001,1
29621,1
20762,1
37144,1
12656,1
38867,1
25969,1
753,1
43634,1
9103,1
90214,1
29649,1
10990,1
8866,1
12233,1
23449,1
36355,1
37667,1
90148,1
922,1
52633,1
9304,1
9100,1
20759,1
46063,1
32513,1
40651,1
36915,1
40507,1
9802,1
25697,1
21588,1
664,1
11867,1
10280,1
10535,1
124613,1
532,1
26744,1
16299,1
10547,1
245268,1
935,1
55613,1
41007,1
35645,1
110465,1
255546,1
85778,1
9826,1
9879,1
63564,1
22621,1
7095,1
26890,1
46732,1
124633,1
41225,1
87190,1
627,1
32872,1
602,1
14553,1
9566,1
10545,1
9894,1
11543,1
9268,1
9327,1
81949,1
44535,1
11228,1
10779,1
26748,1
38223,1
9294,1
49963,1
11363,1
1645,1
31546,1
36344,1
18550,1
11511,1
34170,1
281085,1
109478,1
124645,1
12606,1
4837,1
124614,1
18975,1
11962,1
2925,1
28628,1
3595,1
9308,1
92381,1
18555,1
12123,1
10830,1
3573,1
10546,1
18862,1
9431,1
46986,1
144982,1
47907,1
10061,1
549,1
10478,1
66634,1
238,1
