id_peli,id_franq
28920,412
25005,413
21721,413
10345,414
41586,414
47354,414
10222,415
24993,415
39027,415
50346,415
40661,415
308529,415
9494,416
11982,416
9356,416
41946,417
12310,417
2926,417
10135,418
30666,419
25155,419
11342,420
24126,420
26042,420
27813,421
27816,421
27815,421
9880,422
11130,422
4484,423
11684,423
17169,424
15417,424
8922,425
11351,425
35200,426
14676,426
9398,427
329833,427
10866,428
16763,428
259074,428
166,429
171,429
141,430
17532,430
585,431
13931,431
62211,431
45964,432
10053,432
30554,432
671,433
672,433
673,433
674,433
675,433
767,433
12444,433
12445,433
16085,434
39282,434
16441,435
27549,435
37835,436
26398,437
27591,437
27085,437
43716,437
8007,438
10005,438
14028,438
260063,438
161,439
163,439
298,439
120,440
121,440
122,440
12593,441
14683,441
45491,442
67308,442
11595,443
150,443
11528,444
21138,444
18500,444
39939,445
993,446
4520,446
25006,447
13409,447
23479,448
66946,448
19050,448
108266,449
108267,449
15999,450
9463,450
13225,451
18948,451
7219,452
26200,453
33787,453
38147,454
24032,454
38148,454
425,455
950,455
8355,455
57800,455
278154,455
1576,456
1577,456
7737,456
35791,456
71679,456
173897,456
17804,457
30801,457
31805,458
13861,458
29021,458
31812,458
31804,458
34082,458
31980,458
12705,459
11006,459
15120,459
16026,460
82447,460
24646,460
19181,460
17172,460
24647,460
11452,461
10032,461
19824,461
11590,462
23964,462
14053,462
8346,463
302688,463
307,464
8016,464
8429,464
45878,465
12154,466
11630,466
9334,467
13486,467
78049,467
297291,467
5203,468
557,469
558,469
559,469
12227,470
43643,470
2501,471
2502,471
2503,471
49040,471
324668,471
9637,472
11024,472
22620,472
47533,472
11544,473
15567,473
21316,473
20760,473
21972,474
26655,474
24130,475
23728,475
36645,476
7451,477
11679,477
47971,477
34070,478
5817,478
110390,478
9266,479
58443,479
15070,480
15255,480
38234,480
348893,480
11243,481
19975,481
33838,481
24038,482
28751,482
10611,483
21301,483
326423,483
4108,484
9335,484
13387,484
287948,484
18477,485
12262,485
10575,486
17960,486
11868,487
35669,487
17102,487
29778,487
29748,487
34479,487
33020,487
23220,487
26480,487
10772,488
77079,488
565,489
10320,489
14564,489
11009,490
10805,490
225,491
224,491
17205,492
17386,492
28148,492
15900,493
12237,493
15901,493
15902,493
15904,493
97251,493
22435,494
2264,495
2262,495
661,495
39874,496
14435,496
9012,497
12094,497
14158,497
16290,497
65851,497
208134,497
273641,497
10167,498
13721,498
12716,499
12717,499
9538,500
24331,500
33305,500
30921,500
20992,501
20993,501
6007,502
12076,502
25239,503
14433,504
18061,504
22257,505
39788,505
56078,505
35343,506
29224,506
37727,506
22192,506
37728,506
23654,506
37731,506
37730,506
11564,507
23535,507
61954,507
20787,508
11317,509
4032,509
23626,510
31341,510
15802,511
11915,512
4729,512
4728,512
11913,512
4727,512
10516,512
24830,513
23943,514
54768,514
12139,515
13358,515
24883,516
17264,516
10929,517
42476,517
42532,517
15347,518
53031,518
2671,519
9669,519
9674,519
9706,519
42695,520
45690,520
18992,521
52827,521
7294,522
8214,522
1379,522
2662,523
1696,523
10708,524
14144,524
17464,525
15259,525
1555,526
1826,526
206408,526
310,527
2698,527
12,528
127380,528
9902,529
13186,529
71672,529
23823,529
125509,529
259072,529
5921,530
170,531
1562,531
22,532
58,532
285,532
1865,532
166426,532
9486,533
58233,533
24259,534
44539,534
44674,534
21882,535
4984,535
9257,536
54445,536
461053,536
10923,537
17047,537
9362,538
11069,538
10829,538
10891,538
339530,538
7504,539
513,539
7509,539
2722,540
11547,541
28739,541
157424,541
10617,542
10618,542
10619,542
10620,542
277,543
834,543
12437,543
52520,543
346672,543
17614,544
117629,544
18113,545
37190,545
11475,546
30366,546
