id_prod,productora
518,Walrus & Associates
519,Brooksfilms
520,Hilary Henkin
521,Seon Film Productions
522,Romper Stomper Pty. Ltd.
523,Ruby in Paradise
524,Full Crew/Say Yea
525,David V. Picker Productions
526,Nessa Hyams
527,Carrie Productions Inc.
528,Société Nouvelle de Cinématographie
529,Santo Domingo Film & Music Video
530,Fron Film Production
531,Polar Entertainment
532,Shadowlands Productions
533,Avenue Entertainment
534,Sarah Radclyffe Productions - Sirens Limited
535,British Screen Finance Ltd
536,Samson Productions II
537,Maiden Movies
538,Robert Evans Company
539,Shaw Brothers
540,Columbia Pictures Industries
541,Columbia Films S.A.
542,Walt Disney
543,Nintendo
544,Rhombus Media
545,Tim Burton Productions
546,Skellington Productions Inc.
547,Davis-Films
548,August Entertainment
549,Turner Pictures (I)
550,Keystone Film Company (II)
551,DD Productions
552,CNCAIMC
553,Some Film
554,El Deseo S.A.
555,Channel 4 Television
556,SVT Drama
557,Nordisk Film
558,Svensk Filmindustri (SF)
559,Svenska Filminstitutet (SFI)
560,Swelter Films
561,Buckeye Films
562,King World Entertainment
563,Columbia Pictures Television
564,Telling Pictures
565,Sacher Film
566,Banfilm
567,Oscar Kramer S.A.
568,Aura Film
569,Mojame S.A.
570,Hughes Entertainment
571,T2 Productions
572,Shapiro-Glickenhaus Entertainment
573,The Guber-Peters Company
574,Strong Heart/Demme Production
575,Walt Disney Productions
576,Walt Disney Animation Studios
577,Silver Screen Partners IV
578,RKO Radio Pictures
579,Sodaperaga Productions
580,Fontaine Sarl
581,Warner Brothers/Seven Arts
582,Long Shong Pictures
583,Ubu Productions
584,Fox 2000 Pictures
585,Rosa Productions
586,Canadian Film Development Corporation (CFDC)
587,Trans Atlantic Entertainment
588,The Chess Club
589,El Deseo
590,Lolafilms
591,Sociedad General de Televisión (Sogetel)
592,Fernando Trueba Producciones Cinematográficas
593,TF1 Films Productions
594,France Média
595,Les Films du Scarabée
596,The Vault
597,WF/X
598,Road Movies Filmproduktion GmbH
599,BIM Distribuzione
600,Filmstiftung Nordrhein-Westfalen
601,Diaphana Films
602,Road Movies Dritte Produktionen
603,Degeto Film
604,Messidor Films
605,Dark Matter Productions
606,Granada Film Productions
607,Mainstream S.A.
608,Marvin Worth Productions
609,ABC Productions
610,Ice Films
611,Roxy Film
612,Made in Munich Filmproduktion
613,Senator Film Produktion
614,Cruise/Wagner Productions
615,Icicle
616,Film Fonds
617,Pandora Filmproduktion (
618,Constantin Film
619,Park Chul-Soo Films Ltd.
620,Distant Horizons
621,Koukus Troika
622,Toron Screen Corporation
623,Titanus
624,Paris Film
625,Newcomm
626,Lakeshore Entertainment
627,Komuna
628,Barrandov Studios
629,Per Holst Filmproduktion
630,FM Entertainment International N.V.
631,Government of West Bengal
632,Satyajit Ray Productions
633,Best Brains
634,Warner Bros. Family Entertainment
635,Courtside Seats Productions
636,Dino de Laurentiis Cinematografica
637,Marianne Productions
638,Libra Pictures
639,129 Productions
640,Filmstudio
641,Athos Films
642,Chaumiane
643,Films A2
644,Les Films de la Tour
645,Little Bear
646,Mike Lobell Productions
647,Opala Productions
648,Centre National de la Cinématographie
649,Odessa Films
650,Bioskop Film
651,Van Peebles Films
